epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.7,1.33073,1.56789,1.05448,0.03964,0.35568,0.08628,0.05322,1.11819,4.78831,0.97304,0.00332838,0.00332838,0.00332838
2,318.149,1.13325,0.78856,0.96544,0.07223,0.07599,0.08752,0.05361,1.10401,4.85465,0.97347,0.00659576,0.00659576,0.00659576
3,474.611,1.10999,0.74338,0.95757,0.05965,0.05672,0.0726,0.04419,1.08953,5.17469,0.98258,0.00979715,0.00979715,0.00979715
4,630.459,1.08479,0.72112,0.95917,0.06726,0.05803,0.07778,0.05126,1.05048,5.2955,0.95883,0.009703,0.009703,0.009703
5,786.652,0.99961,0.64511,0.93552,0.06512,0.05873,0.07898,0.05107,1.04765,5.36097,0.95902,0.009604,0.009604,0.009604
6,942.509,0.93889,0.60242,0.92231,0.06672,0.06238,0.08076,0.05568,0.95595,5.52343,0.94554,0.009505,0.009505,0.009505
7,1099,0.89939,0.5721,0.91549,0.0664,0.06365,0.08124,0.05781,0.92299,5.76747,0.93231,0.009406,0.009406,0.009406
8,1255.22,0.86948,0.54936,0.90547,0.06485,0.06187,0.07971,0.05768,0.8959,5.70977,0.91175,0.009307,0.009307,0.009307
9,1411.19,0.84482,0.52776,0.90047,0.06533,0.06409,0.08409,0.06011,0.87698,5.92864,0.91505,0.009208,0.009208,0.009208
10,1566.9,0.8201,0.51271,0.89423,0.06872,0.06426,0.08097,0.05666,0.89848,6.07343,0.92153,0.009109,0.009109,0.009109
11,1722.6,0.80372,0.49655,0.88988,0.06709,0.06341,0.07563,0.05548,0.83536,6.13802,0.90006,0.00901,0.00901,0.00901
12,1878.82,0.78635,0.48655,0.88546,0.07026,0.06546,0.07874,0.05718,0.82408,6.12344,0.89433,0.008911,0.008911,0.008911
13,2035.11,0.77146,0.47456,0.88189,0.0661,0.06416,0.07623,0.0565,0.82749,6.37741,0.9044,0.008812,0.008812,0.008812
14,2191.46,0.76313,0.46908,0.88075,0.07017,0.06546,0.07896,0.05974,0.80937,6.34458,0.89654,0.008713,0.008713,0.008713
15,2347.69,0.75124,0.46133,0.8764,0.06601,0.06366,0.07939,0.05918,0.79041,6.37292,0.88404,0.008614,0.008614,0.008614
16,2503.59,0.73869,0.45265,0.87527,0.06792,0.06501,0.07962,0.05925,0.81593,6.11871,0.88195,0.008515,0.008515,0.008515
17,2659.3,0.73272,0.44644,0.87129,0.06697,0.06371,0.07815,0.05934,0.7856,6.53157,0.88729,0.008416,0.008416,0.008416
18,2815.19,0.72214,0.44026,0.87083,0.0677,0.06385,0.07929,0.06102,0.76413,6.42828,0.86999,0.008317,0.008317,0.008317
19,2971.4,0.71331,0.43316,0.86895,0.06682,0.06477,0.08137,0.06258,0.74391,6.24468,0.87448,0.008218,0.008218,0.008218
20,3127.43,0.70577,0.42795,0.86706,0.06582,0.06467,0.07806,0.05964,0.75326,6.72928,0.87571,0.008119,0.008119,0.008119
21,3283.27,0.69848,0.42376,0.86575,0.06684,0.0635,0.07917,0.06141,0.72966,6.73913,0.86838,0.00802,0.00802,0.00802
22,3438.7,0.69327,0.42061,0.86399,0.06722,0.06344,0.08166,0.06264,0.73197,6.45516,0.87032,0.007921,0.007921,0.007921
23,3594.68,0.6837,0.4149,0.86111,0.06727,0.06448,0.07845,0.06113,0.71862,6.72363,0.86624,0.007822,0.007822,0.007822
24,8330.99,0.68125,0.41033,0.86102,0.06711,0.0644,0.08238,0.06515,0.71187,6.55996,0.86635,0.007723,0.007723,0.007723
25,8495.16,0.67585,0.40762,0.86056,0.0677,0.06442,0.07736,0.06039,0.70303,6.90559,0.86507,0.007624,0.007624,0.007624
26,8654.86,0.66881,0.40337,0.85765,0.06728,0.06417,0.07946,0.06267,0.69924,6.87891,0.85708,0.007525,0.007525,0.007525
27,8816.28,0.66556,0.40022,0.85782,0.0664,0.06439,0.07845,0.06127,0.69843,6.8517,0.86262,0.007426,0.007426,0.007426
28,8980.21,0.65874,0.39678,0.85669,0.06694,0.06461,0.07804,0.06153,0.69151,6.88555,0.85665,0.007327,0.007327,0.007327
29,9142.2,0.6529,0.39346,0.85618,0.06682,0.06438,0.07862,0.06288,0.69044,6.86348,0.85863,0.007228,0.007228,0.007228
30,9303.92,0.6546,0.39232,0.85587,0.06701,0.06499,0.08021,0.0642,0.67847,7.06335,0.85212,0.007129,0.007129,0.007129
31,9461.88,0.64911,0.38807,0.85354,0.0671,0.06457,0.07604,0.06086,0.68332,6.9981,0.8537,0.00703,0.00703,0.00703
32,9618.04,0.64316,0.38532,0.85299,0.06668,0.06444,0.07655,0.06089,0.6675,7.07983,0.85132,0.006931,0.006931,0.006931
33,9773.99,0.64004,0.38445,0.85204,0.06681,0.06528,0.07681,0.06187,0.66411,6.99563,0.84948,0.006832,0.006832,0.006832
34,9929.39,0.63979,0.3824,0.85279,0.06667,0.06559,0.07665,0.06093,0.6653,7.13815,0.84766,0.006733,0.006733,0.006733
35,10084.7,0.63094,0.37667,0.85043,0.06641,0.06536,0.0777,0.06314,0.65451,6.92204,0.84832,0.006634,0.006634,0.006634
36,10240.8,0.62699,0.37547,0.85023,0.06841,0.06681,0.07612,0.06145,0.65694,7.09748,0.84895,0.006535,0.006535,0.006535
37,10397.3,0.62221,0.37014,0.84777,0.06671,0.06511,0.07929,0.06422,0.65161,7.18349,0.84758,0.006436,0.006436,0.006436
38,10554.2,0.61976,0.37013,0.84903,0.06677,0.06549,0.07697,0.06298,0.64114,7.00636,0.84665,0.006337,0.006337,0.006337
39,10710.6,0.61664,0.3678,0.84741,0.067,0.06523,0.07636,0.06284,0.64402,7.09944,0.84766,0.006238,0.006238,0.006238
40,10867.1,0.6117,0.36372,0.84569,0.0668,0.06524,0.07659,0.06252,0.63738,7.22528,0.84557,0.006139,0.006139,0.006139
41,11023.3,0.61097,0.36327,0.84701,0.06657,0.06573,0.07524,0.06177,0.62926,7.11851,0.84376,0.00604,0.00604,0.00604
42,11180.5,0.60778,0.35994,0.84547,0.06683,0.06521,0.076,0.06231,0.62819,7.18724,0.84397,0.005941,0.005941,0.005941
43,11336.5,0.60363,0.35856,0.84398,0.06714,0.06519,0.07627,0.06252,0.62581,7.19736,0.84352,0.005842,0.005842,0.005842
44,11492.9,0.59925,0.35449,0.84317,0.06821,0.06659,0.07548,0.0622,0.62474,7.24158,0.84024,0.005743,0.005743,0.005743
45,11650.9,0.59795,0.35397,0.84419,0.06839,0.06659,0.0756,0.06208,0.62206,7.24694,0.84075,0.005644,0.005644,0.005644
